Wavelength,Intensity
134.711434,16
135.93863,17
137.16491,18
138.390274,19
139.614721,21
140.838253,22
142.060869,24
143.282569,26
144.503353,27
145.72322,29
146.942172,29
148.160208,30
149.377328,31
150.593532,33
151.808819,34
153.023191,36
154.236647,38
155.449187,39
156.660811,40
157.871519,40
159.081311,40
160.290187,41
161.498147,42
162.70519,43
163.911318,43
165.11653,44
166.320826,44
167.524206,45
168.72667,45
169.928218,45
171.12885,46
172.328566,46
173.527366,46
174.72525,44
175.922218,43
177.11827,43
178.313406,43
179.507626,44
180.70093,45
181.893318,46
183.08479,46
184.275346,45
185.464986,44
186.65371,43
187.841518,43
189.02841,43
190.214386,44
191.399446,44
192.58359,44
193.766818,44
194.949131,43
196.130527,43
197.311007,43
198.490571,43
199.669219,43
200.846951,44
202.023767,44
203.199667,44
204.374652,43
205.54872,43
206.721872,43
207.894108,43
209.065428,43
210.235832,43
211.405321,43
212.573893,44
213.741549,43
214.908289,43
216.074113,43
217.239022,43
218.403014,43
219.56609,44
220.72825,43
221.889495,43
223.049823,43
224.209235,43
225.367731,43
226.525312,44
227.681976,44
228.837724,43
229.992557,43
231.146473,42
232.299473,42
233.451558,42
234.602726,43
235.752978,43
236.902315,43
238.050735,43
239.198239,42
240.344828,42
241.4905,41
242.635256,40
243.779097,40
244.922021,41
246.06403,42
247.205122,42
248.345298,42
249.484559,42
250.622903,41
251.760332,41
252.896844,41
254.03244,42
255.167121,42
256.300885,41
257.433734,41
258.565666,40
259.696683,40
260.826783,41
261.955968,42
263.084236,42
264.211589,43
265.338025,43
266.463546,43
267.58815,42
268.711839,42
269.834611,41
270.956468,41
272.077409,41
273.197433,42
274.316542,43
275.434734,44
276.552011,44
277.668371,43
278.783816,41
279.898345,40
281.011957,41
282.124654,42
283.236435,43
284.347299,43
285.457248,43
286.56628,43
287.674397,42
288.781598,41
289.887882,41
290.993251,41
292.097704,42
293.20124,43
294.303861,42
295.405566,42
296.506355,42
297.606227,42
298.705184,42
299.803225,43
300.90035,43
301.996558,43
303.091851,42
304.186228,42
305.279689,42
306.372233,43
307.463862,43
308.554575,44
309.644372,45
310.733252,45
311.821217,45
312.908266,45
313.994399,45
315.079616,45
316.163917,44
317.247301,44
318.32977,44
319.411323,44
320.49196,45
321.571681,46
322.650486,47
323.728375,47
324.805347,47
325.881404,47
326.956545,47
328.03077,48
329.104079,48
330.176472,48
331.247949,49
332.31851,49
333.388155,49
334.456884,50
335.524697,50
336.591594,51
337.657575,51
338.72264,51
339.786789,52
340.850022,52
341.912339,52
342.97374,52
344.034225,53
345.093794,54
346.152447,55
347.210184,55
348.267005,55
349.32291,55
350.377899,55
351.431972,55
352.485129,56
353.53737,57
354.588695,58
355.639104,57
356.688597,57
357.737175,56
358.784836,54
359.831581,53
360.87741,52
361.922323,51
362.96632,51
364.009401,51
365.051566,50
366.092816,50
367.133149,48
368.172566,47
369.211067,45
370.248652,45
371.285321,44
372.321075,44
373.355912,44
374.389833,44
375.422838,44
376.454928,44
377.486101,44
378.516358,43
379.545699,43
380.574125,44
381.601634,44
382.628227,44
383.653904,44
384.678666,43
385.702511,43
386.72544,42
387.747454,42
388.768551,42
389.788732,43
390.807997,44
391.826347,44
392.84378,44
393.860298,43
394.875899,42
395.890584,41
396.904354,40
397.917207,39
398.929144,39
399.940166,40
400.950271,39
401.959461,35
402.967734,32
403.975091,30
404.981533,31
405.987058,35
406.991668,41
407.995361,48
408.998139,52
410.0,53
411.000945,52
412.000975,51
413.000088,53
413.998286,56
414.995567,58
415.991933,59
416.987382,59
417.981916,57
418.975533,54
419.968235,51
420.96002,48
421.95089,46
422.940844,45
423.929881,44
424.918003,44
425.905208,42
426.891498,40
427.876871,37
428.861329,34
429.844871,30
430.827496,28
431.809206,27
432.789999,27
433.769877,27
434.748839,26
435.726884,25
436.704014,25
437.680228,25
438.655525,25
439.629907,25
440.603373,25
441.575922,25
442.547556,26
443.518274,26
444.488075,26
445.456961,25
446.424931,24
447.391985,23
448.358122,23
449.323344,22
450.28765,23
451.251039,22
452.213513,23
453.175071,23
454.135713,23
455.095439,23
456.054248,24
457.012142,24
457.96912,23
458.925182,22
459.880327,22
460.834557,22
461.787871,22
462.740269,23
463.691751,23
464.642317,22
465.591967,22
466.5407,22
467.488518,21
468.43542,21
469.381406,22
470.326476,22
471.27063,22
472.213868,22
473.15619,22
474.097595,23
475.038085,25
475.977659,28
476.916317,31
477.854059,34
478.790885,36
479.726795,37
480.661789,38
481.595867,40
482.529029,42
483.461275,44
484.392605,46
485.323019,48
486.252517,49
487.181099,51
488.108765,52
489.035515,52
489.961349,52
490.886267,53
491.810269,53
492.733355,54
493.655525,55
494.576779,56
495.497117,57
496.416539,57
497.335046,57
498.252636,57
499.16931,56
500.085068,57
500.99991,57
501.913836,56
502.826846,56
503.73894,55
504.650119,55
505.560381,56
506.469727,56
507.378157,57
508.285671,58
509.192269,58
510.097952,57
511.002718,57
511.906568,56
512.809502,56
513.71152,57
514.612623,56
515.512809,56
516.412079,55
517.310433,54
518.207871,53
519.104394,53
520.0,53
520.89469,53
521.788465,53
522.681323,53
523.573265,53
524.464291,53
525.354402,52
526.243596,52
527.131874,51
528.019237,50
528.905683,50
529.791213,49
530.675828,49
531.559526,50
532.442308,51
533.324175,52
534.205125,52
535.085159,52
535.964278,52
536.84248,52
537.719767,52
538.596137,51
539.471591,52
540.34613,52
541.219752,52
542.092459,52
542.964249,52
543.835124,51
544.705082,51
545.574125,50
546.442251,50
547.309461,50
548.175756,50
549.041134,51
549.905597,51
550.769143,51
551.631774,52
552.493488,52
553.354287,52
554.21417,51
555.073136,51
555.931187,50
556.788321,50
557.64454,50
558.499842,50
559.354229,51
560.207699,52
561.060254,51
561.911893,51
562.762615,51
563.612422,50
564.461312,50
565.309287,50
566.156346,51
567.002488,51
567.847715,52
568.692026,53
569.53542,53
570.377899,54
571.219462,54
572.060108,53
572.899839,53
573.738654,52
574.576552,52
575.413535,53
576.249602,55
577.084752,57
577.918987,58
578.752306,59
579.584709,59
580.416195,59
581.246766,59
582.076421,60
582.90516,62
583.732982,64
584.559889,67
585.38588,68
586.210955,70
587.035114,70
587.858356,71
588.680683,71
589.502094,72
590.322589,73
591.142168,73
591.960831,74
592.778577,74
593.595408,74
594.411323,74
595.226322,74
596.040405,74
596.853572,74
597.665823,73
598.477158,73
599.287576,72
600.097079,71
600.905666,70
601.713337,70
602.520092,69
603.325931,69
604.130854,68
604.934861,67
605.737952,66
606.540127,64
607.341386,63
608.141729,62
608.941156,62
609.739667,61
610.537262,60
611.333941,60
612.129704,60
612.924551,59
613.718482,58
614.511497,57
